0.3000 1.5338888888889 0
0.3120 1.5283144312952 0
0.3240 1.5233478128334 0
0.3360 1.5189037698413 0
0.3480 1.5149114810411 0
0.3600 1.5113117283951 0
0.3720 1.5080546884033 0
0.3840 1.5050981987847 0
0.3960 1.5024063871034 0
0.4080 1.4999485774702 0
0.4200 1.4976984126984 0
0.4320 1.4956331447188 0
0.4440 1.4937330573817 0
0.4560 1.491980994152 0
0.4680 1.4903619694645 0
0.4800 1.4888628472222 0
0.4920 1.4874720735012 0
0.5040 1.4861794532628 0
0.5160 1.484975962983 0
0.5280 1.4838535927456 0
0.5400 1.48280521262 0
0.5520 1.4818244591472 0
0.5640 1.4809056385494 0
0.5760 1.4800436439043 0
0.5880 1.4792338840298 0
0.6000 1.4784722222222 0
0.6120 1.4777549233201 0
0.6240 1.4770786078238 0
0.6360 1.4764402120169 0
0.6480 1.4758369532084 0
0.6600 1.4752662993572 0
0.6720 1.4747259424603 0
0.6840 1.4742137751787 0
0.6960 1.4737278702603 0
0.7080 1.4732664623831 0
0.7200 1.4728279320988 0
0.7320 1.4724107916032 0
0.7440 1.4720136721008 0
0.7560 1.4716353125612 0
0.7680 1.4712745496962 0
0.7800 1.4709303090072 0
0.7920 1.4706015967758 0
0.8040 1.4702874928838 0
0.8160 1.4699871443676 0
0.8280 1.469699759621 0
0.8400 1.4694246031746 0
0.8520 1.469160990985 0
0.8640 1.4689082861797 0
0.8760 1.4686658952065 0
0.8880 1.4684332643454 0
0.9000 1.4682098765432 0
0.9120 1.467995248538 0
0.9240 1.4677889282435 0
0.9360 1.4675904923661 0
0.9480 1.4673995442326 0
0.9600 1.4672157118056 0
0.9720 1.4670386458704 0
0.9840 1.4668680183753 0
0.9960 1.466703520911 0
1.008 1.4665448633157 0
1.020 1.4663917723952 0
1.032 1.4662439907457 0
1.044 1.4661012756712 0
1.056 1.4659633981864 0
1.068 1.4658301420977 0
1.080 1.465701303155 0
1.092 1.465576688269 0
1.104 1.4654561147868 0
1.116 1.4653394098226 0
1.128 1.4652264096373 0
1.140 1.4651169590643 0
1.152 1.4650109109761 0
1.164 1.4649081257897 0
1.176 1.4648084710075 0
1.188 1.4647118207893 0
1.200 1.4646180555556 0
1.212 1.4645270616171 0
1.224 1.46443873083 0
1.236 1.4643529602748 0
1.248 1.4642696519559 0
1.260 1.464188712522 0
1.272 1.4641100530042 0
1.284 1.4640335885715 0
1.296 1.4639592383021 0
1.308 1.4638869249689 0
1.320 1.4638165748393 0
1.332 1.4637481174869 0
1.344 1.4636814856151 0
1.356 1.463616614892 0
1.368 1.4635534437947 0
1.380 1.4634919134636 0
1.392 1.4634319675651 0
1.404 1.4633735521627 0
1.416 1.4633166155958 0
1.428 1.4632611083649 0
1.440 1.4632069830247 0
1.452 1.4631541940821 0
1.464 1.4631026979008 0
1.476 1.4630524526112 0
1.488 1.4630034180252 0
1.500 1.4629555555556 0
